用户ID,昵称,姓名,代理等级,业绩周期,归属高级ID,归属高级昵称,归属高级姓名,电话,归属高级等级,金额
A00001,门店-A1,门店1,门店代理,2026-07-01,D0001,经销商-A,高级一,13800000001,运营中心,192
A00002,门店-A2,门店2,门店代理,2026-07-01,D0002,经销商-B,高级丁,13800000002,业务员,142.8
A00003,门店-A3,门店3,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,48
A00004,门店-A4,门店4,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,164
A00005,门店-A5,门店5,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,21.6
A00006,门店-A6,门店6,门店代理,2026-07-01,D0006,经销商-F,高级丅,13800000006,运营中心,21.6
A00007,门店-A7,门店7,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,1337
A00008,门店-A8,门店8,门店代理,2026-07-01,D0007,经销商-G,高级丆,13800000007,合伙人,316.5
A00009,门店-A9,门店9,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,196
A00010,门店-A10,门店10,门店代理,2026-07-01,D0009,经销商-I,高级丈,13800000009,运营中心,361.2
A00011,门店-A11,门店11,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,5960
A00012,门店-A12,门店12,门店代理,2026-07-01,D0010,经销商-J,高级三,13800000010,运营中心,5960
A00013,门店-A13,门店13,门店代理,2026-07-01,D0011,经销商-K,高级上,13800000011,运营中心,2980
A00014,门店-A14,门店14,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,2980
A00015,门店-A15,门店15,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,2980
A00016,门店-A16,门店16,门店代理,2026-07-01,D0013,经销商-M,高级丌,13800000013,运营中心,5960
A00017,门店-A17,门店17,门店代理,2026-07-01,D0014,经销商-N,高级不,13800000014,运营中心,11920
A00018,门店-A18,门店18,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,2980
A00019,门店-A19,门店19,门店代理,2026-07-01,D0015,经销商-O,高级与,13800000015,运营中心,2980
A00020,门店-A20,门店20,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,2980
A00021,门店-A21,门店21,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,2980
A00022,门店-A22,门店22,门店代理,2026-07-01,D0017,经销商-Q,高级丐,13800000017,运营中心,2980
A00023,门店-A23,门店23,门店代理,2026-07-01,D0017,经销商-Q,高级丐,13800000017,运营中心,2980
A00024,门店-A24,门店24,门店代理,2026-07-01,D0018,经销商-R,高级丑,13800000018,运营中心,149.6
A00025,门店-A25,门店25,门店代理,2026-07-01,D0019,经销商-S,高级丒,13800000019,运营中心,2145
A00026,门店-A26,门店26,门店代理,2026-07-01,D0020,经销商-T,高级专,13800000020,运营中心,21.6
A00027,门店-A27,门店27,门店代理,2026-07-01,D0021,经销商-U,高级且,13800000021,运营中心,272
A00028,门店-A28,门店28,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,37.4
A00029,门店-A29,门店29,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,633
A00030,门店-A30,门店30,门店代理,2026-07-01,D0022,经销商-V,高级丕,13800000022,运营中心,151.2
A00031,门店-A31,门店31,门店代理,2026-07-01,D0023,经销商-W,高级世,13800000023,运营中心,2940
A00032,门店-A32,门店32,门店代理,2026-07-01,D0024,经销商-X,高级丗,13800000024,运营中心,1486
A00033,门店-A33,门店33,门店代理,2026-07-01,D0025,经销商-Y,高级丘,13800000025,运营中心,100.8
A00034,门店-A34,门店34,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,89.1
A00035,门店-A35,门店35,门店代理,2026-07-01,D0026,经销商-Z,高级丙,13800000026,运营中心,151.2
A00036,门店-A36,门店36,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,661.9
A00037,门店-A37,门店37,门店代理,2026-07-01,D0027,经销商-A,高级27,13800000027,运营中心,378
A00038,门店-A38,门店38,门店代理,2026-07-01,D0005,经销商-E,高级丄,13800000005,运营中心,1360
A00039,门店-A39,门店39,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,21.6
A00040,门店-A40,门店40,门店代理,2026-07-01,D0028,经销商-B,高级28,13800000028,运营中心,1358.6
A00041,门店-A41,门店41,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,201.6
A00042,门店-A42,门店42,门店代理,2026-07-01,D0016,经销商-P,高级丏,13800000016,运营中心,0
A00043,门店-A43,门店43,门店代理,2026-07-01,D0029,经销商-C,高级29,13800000029,运营中心,248.4
A00044,门店-A44,门店44,门店代理,2026-07-01,D0021,经销商-U,高级且,13800000021,运营中心,106
A00045,门店-A45,门店45,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,75.6
A00046,门店-A46,门店46,门店代理,2026-07-01,D0008,经销商-H,高级万,13800000008,运营中心,756
A00047,门店-A47,门店47,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,680
A00048,门店-A48,门店48,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,572.4
A00049,门店-A49,门店49,门店代理,2026-07-01,D0015,经销商-O,高级与,13800000015,运营中心,33.2
A00050,门店-A50,门店50,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,202.2
A00051,门店-A51,门店51,门店代理,2026-07-01,D0031,经销商-E,高级31,13800000031,运营中心,89.7
A00052,门店-A52,门店52,门店代理,2026-07-01,D0032,经销商-F,高级32,13800000032,运营中心,75.6
A00053,门店-A53,门店53,门店代理,2026-07-01,D0033,经销商-G,高级33,13800000033,运营中心,29.9
A00054,门店-A54,门店54,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,1300.4
A00055,门店-A55,门店55,门店代理,2026-07-01,D0034,经销商-H,高级34,13800000034,业务员,29.9
A00056,门店-A56,门店56,门店代理,2026-07-01,D0035,经销商-I,高级35,13800000035,运营中心,677.2
A00057,门店-A57,门店57,门店代理,2026-07-01,D0036,经销商-J,高级36,13800000036,运营中心,759
A00058,门店-A58,门店58,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,579.2
A00059,门店-A59,门店59,门店代理,2026-07-01,D0037,经销商-K,高级37,13800000037,运营中心,214.4
A00060,门店-A60,门店60,门店代理,2026-07-01,D0003,经销商-C,高级丂,13800000003,运营中心,79.4
A00061,门店-A61,门店61,门店代理,2026-07-01,D0010,经销商-J,高级三,13800000010,运营中心,3019.9
A00062,门店-A62,门店62,门店代理,2026-07-01,D0038,经销商-L,高级38,13800000038,运营中心,151.2
A00063,门店-A63,门店63,门店代理,2026-07-01,D0015,经销商-O,高级与,13800000015,运营中心,3156.5
A00064,门店-A64,门店64,门店代理,2026-07-01,D0004,经销商-D,高级七,13800000004,运营中心,79.8
A00065,门店-A65,门店65,门店代理,2026-07-01,D0039,经销商-M,高级39,13800000039,运营中心,79.8
A00066,门店-A66,门店66,门店代理,2026-07-01,D0022,经销商-V,高级丕,13800000022,运营中心,31.4
A00067,门店-A67,门店67,门店代理,2026-07-01,D0002,经销商-B,高级丁,13800000002,业务员,37.4
A00068,门店-A68,门店68,门店代理,2026-07-01,D0030,经销商-D,高级30,13800000030,运营中心,788.8
A00069,门店-A69,门店69,门店代理,2026-07-01,D0040,经销商-N,高级40,13800000040,运营中心,132.3
A00070,门店-A70,门店70,门店代理,2026-07-01,D0035,经销商-I,高级35,13800000035,运营中心,2030.6
A00071,门店-A71,门店71,门店代理,2026-07-01,D0041,经销商-O,高级41,13800000041,运营中心,43.2
A00072,门店-A72,门店72,门店代理,2026-07-01,D0042,经销商-P,高级42,13800000042,运营中心,96
A00073,门店-A73,门店73,门店代理,2026-07-01,D0018,经销商-R,高级丑,13800000018,运营中心,368.8
A00074,门店-A74,门店74,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,75.6
A00075,门店-A75,门店75,门店代理,2026-07-01,D0012,经销商-L,高级下,13800000012,运营中心,302.4
A00076,门店-A76,门店76,门店代理,2026-07-01,D0022,经销商-V,高级丕,13800000022,运营中心,1180.3
